city,country,temperature,feels_like,temp_min,temp_max,humidity,pressure,wind_speed,description,icon,timestamp,clouds,pop,rain_3h,snow_3h
Mumbai,IN,27.0,27.4,25.9,27.0,50,1011,3.09,smoke,50n,2024-12-10 18:23:48,98,,,
Mumbai,,26.7,27.4,26.1,26.7,54,1011,4.96,overcast clouds,04n,2024-12-10 20:30:00,87,0.0,0.0,0.0
Mumbai,,26.3,26.3,25.9,26.3,58,1011,1.87,broken clouds,04n,2024-12-10 23:30:00,65,0.0,0.0,0.0
Mumbai,,25.2,25.3,25.2,25.2,58,1011,3.12,scattered clouds,03n,2024-12-11 02:30:00,46,0.0,0.0,0.0
Mumbai,,24.8,24.8,24.8,24.8,53,1011,3.81,scattered clouds,03n,2024-12-11 05:30:00,26,0.0,0.0,0.0
Mumbai,,24.7,24.5,24.7,24.7,49,1013,3.47,scattered clouds,03d,2024-12-11 08:30:00,41,0.0,0.0,0.0
Mumbai,,26.6,26.6,26.6,26.6,42,1013,0.84,scattered clouds,03d,2024-12-11 11:30:00,26,0.0,0.0,0.0
Mumbai,,27.3,27.7,27.3,27.3,50,1010,4.36,few clouds,02d,2024-12-11 14:30:00,13,0.0,0.0,0.0
Mumbai,,26.3,26.3,26.3,26.3,60,1010,6.71,clear sky,01d,2024-12-11 17:30:00,10,0.0,0.0,0.0
Mumbai,,26.1,26.1,26.1,26.1,64,1012,6.25,clear sky,01n,2024-12-11 20:30:00,2,0.0,0.0,0.0
Mumbai,,26.0,26.0,26.0,26.0,61,1012,2.79,clear sky,01n,2024-12-11 23:30:00,4,0.0,0.0,0.0
Mumbai,,25.6,25.7,25.6,25.6,57,1010,1.79,few clouds,02n,2024-12-12 02:30:00,17,0.0,0.0,0.0
Mumbai,,25.1,25.1,25.1,25.1,55,1010,2.92,scattered clouds,03n,2024-12-12 05:30:00,28,0.0,0.0,0.0
Mumbai,,24.9,24.9,24.9,24.9,53,1012,2.68,broken clouds,04d,2024-12-12 08:30:00,76,0.0,0.0,0.0
Mumbai,,26.9,27.3,26.9,26.9,50,1012,2.24,broken clouds,04d,2024-12-12 11:30:00,57,0.0,0.0,0.0
Mumbai,,26.3,26.3,26.3,26.3,59,1009,6.82,broken clouds,04d,2024-12-12 14:30:00,57,0.0,0.0,0.0
Mumbai,,25.7,26.0,25.7,25.7,61,1009,8.37,scattered clouds,03d,2024-12-12 17:30:00,34,0.0,0.0,0.0
Mumbai,,26.1,26.1,26.1,26.1,61,1011,6.86,clear sky,01n,2024-12-12 20:30:00,9,0.0,0.0,0.0
Mumbai,,25.9,26.0,25.9,25.9,57,1011,2.9,few clouds,02n,2024-12-12 23:30:00,13,0.0,0.0,0.0
Mumbai,,25.3,25.2,25.3,25.3,52,1010,3.44,broken clouds,04n,2024-12-13 02:30:00,58,0.0,0.0,0.0
Mumbai,,24.6,24.5,24.6,24.6,53,1010,3.18,broken clouds,04n,2024-12-13 05:30:00,70,0.0,0.0,0.0
Mumbai,,24.6,24.6,24.6,24.6,53,1013,3.71,overcast clouds,04d,2024-12-13 08:30:00,100,0.0,0.0,0.0
Mumbai,,27.1,27.4,27.1,27.1,49,1013,2.56,broken clouds,04d,2024-12-13 11:30:00,83,0.0,0.0,0.0
Mumbai,,28.1,28.3,28.1,28.1,47,1010,4.97,broken clouds,04d,2024-12-13 14:30:00,83,0.0,0.0,0.0
Mumbai,,26.6,26.6,26.6,26.6,62,1010,6.66,broken clouds,04d,2024-12-13 17:30:00,77,0.0,0.0,0.0
Mumbai,,26.7,28.0,26.7,26.7,65,1011,4.96,broken clouds,04n,2024-12-13 20:30:00,83,0.0,0.0,0.0
Mumbai,,26.1,26.1,26.1,26.1,62,1012,3.78,overcast clouds,04n,2024-12-13 23:30:00,92,0.0,0.0,0.0
Mumbai,,25.4,25.3,25.4,25.4,48,1011,3.48,overcast clouds,04n,2024-12-14 02:30:00,96,0.0,0.0,0.0
Mumbai,,24.4,24.1,24.4,24.4,46,1011,4.68,broken clouds,04n,2024-12-14 05:30:00,57,0.0,0.0,0.0
Mumbai,,24.1,23.8,24.1,24.1,44,1013,4.23,few clouds,02d,2024-12-14 08:30:00,14,0.0,0.0,0.0
Mumbai,,26.9,26.9,26.9,26.9,42,1014,3.09,scattered clouds,03d,2024-12-14 11:30:00,45,0.0,0.0,0.0
Mumbai,,28.7,28.4,28.7,28.7,41,1010,2.01,broken clouds,04d,2024-12-14 14:30:00,57,0.0,0.0,0.0
Mumbai,,26.7,27.6,26.7,26.7,57,1011,7.02,broken clouds,04d,2024-12-14 17:30:00,52,0.0,0.0,0.0
Mumbai,,26.8,27.9,26.8,26.8,61,1013,5.71,scattered clouds,03n,2024-12-14 20:30:00,33,0.0,0.0,0.0
Mumbai,,26.5,26.5,26.5,26.5,52,1013,2.43,few clouds,02n,2024-12-14 23:30:00,20,0.0,0.0,0.0
Mumbai,,25.4,25.2,25.4,25.4,47,1012,3.65,broken clouds,04n,2024-12-15 02:30:00,71,0.0,0.0,0.0
Mumbai,,24.5,24.1,24.5,24.5,44,1012,4.24,broken clouds,04n,2024-12-15 05:30:00,63,0.0,0.0,0.0
Mumbai,,24.1,23.7,24.1,24.1,42,1014,4.33,scattered clouds,03d,2024-12-15 08:30:00,31,0.0,0.0,0.0
Mumbai,,26.7,26.6,26.7,26.7,38,1015,2.22,few clouds,02d,2024-12-15 11:30:00,19,0.0,0.0,0.0
Mumbai,,28.1,27.9,28.1,28.1,43,1011,4.18,clear sky,01d,2024-12-15 14:30:00,8,0.0,0.0,0.0
Mumbai,,26.4,26.4,26.4,26.4,57,1011,7.08,clear sky,01d,2024-12-15 17:30:00,7,0.0,0.0,0.0
Delhi,IN,19.1,17.6,19.1,19.1,22,1016,3.09,haze,50n,2024-12-10 18:23:24,0,,,
Delhi,,18.9,17.3,18.6,18.9,18,1016,2.48,clear sky,01n,2024-12-10 20:30:00,0,0.0,0.0,0.0
Delhi,,17.6,15.8,16.9,17.6,14,1016,2.35,clear sky,01n,2024-12-10 23:30:00,0,0.0,0.0,0.0
Delhi,,15.4,13.3,15.4,15.4,12,1016,2.83,clear sky,01n,2024-12-11 02:30:00,0,0.0,0.0,0.0
Delhi,,14.3,12.1,14.3,14.3,12,1017,2.77,clear sky,01n,2024-12-11 05:30:00,0,0.0,0.0,0.0
Delhi,,14.5,12.3,14.5,14.5,12,1019,3.1,clear sky,01d,2024-12-11 08:30:00,0,0.0,0.0,0.0
Delhi,,18.9,17.1,18.9,18.9,9,1018,3.48,clear sky,01d,2024-12-11 11:30:00,0,0.0,0.0,0.0
Delhi,,22.1,20.5,22.1,22.1,7,1015,3.32,clear sky,01d,2024-12-11 14:30:00,1,0.0,0.0,0.0
Delhi,,21.0,19.3,21.0,21.0,8,1015,2.77,clear sky,01n,2024-12-11 17:30:00,0,0.0,0.0,0.0
Delhi,,18.6,16.9,18.6,18.6,11,1015,2.09,clear sky,01n,2024-12-11 20:30:00,0,0.0,0.0,0.0
Delhi,,17.0,15.1,17.0,17.0,11,1016,1.91,clear sky,01n,2024-12-11 23:30:00,1,0.0,0.0,0.0
Delhi,,15.7,13.6,15.7,15.7,12,1015,2.16,scattered clouds,03n,2024-12-12 02:30:00,37,0.0,0.0,0.0
Delhi,,14.6,12.5,14.6,14.6,13,1015,1.93,scattered clouds,03n,2024-12-12 05:30:00,39,0.0,0.0,0.0
Delhi,,14.8,12.7,14.8,14.8,14,1017,2.14,clear sky,01d,2024-12-12 08:30:00,0,0.0,0.0,0.0
Delhi,,19.1,17.4,19.1,19.1,12,1016,3.04,clear sky,01d,2024-12-12 11:30:00,0,0.0,0.0,0.0
Delhi,,22.1,20.6,22.1,22.1,10,1014,3.31,clear sky,01d,2024-12-12 14:30:00,7,0.0,0.0,0.0
Delhi,,21.0,19.4,21.0,21.0,12,1014,2.82,clear sky,01n,2024-12-12 17:30:00,4,0.0,0.0,0.0
